name,designation,speciality,location,fee
Dr Iffat Ahmed,N/A,Gynecologists,"The Aga Khan University Hospital                 AKUH Consulting Clinic, Stadium Road, Karachi.   Stadium Road , karachi",
Dr. Samiullah,N/A,General Surgeon,"Bilal Hospital                38-A, Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi",
Prof. Dr. Muhammad Sarwar,N/A,Cardiologists,"Doctors Hospital Lahore                 152-G/1, Canal Bank, Johar TownLahore.  Johar Town , Lahore",
Dr Prof Ahmed Fawad,N/A,Urologists,"Dr Ziauddin Hospital                North Nazimabad, Karachi.  North Nazimabad , karachi",
Dr. Tariq Shafi,N/A,Cardiologists,"Doctors Hospital                152-G/1, Canal Bank, Johar Town, Lahore.  Johar Town , Lahore",
Dr AZAM HUSSAIN YOUSIFANI,N/A,ENT Specialist,"2-Jehan Plaza, Saddar, Hyderabad.  Saddar , Hyderabad",
Dr Saba Raees,N/A,Skin Specialists | Dermatologists,"Defence Skin, Laser & Cosmetology Clinic                First Floor 290 Q, Phase II, Ghazi Road, DHA Lahore, Street 4, Lahore  DHA , Lahore",
Dr Fauzia Maqsood,N/A,Gynecologists,"Naseer Hospital                , 16 - Ahmed Block, New Garden Town, Lahore.  New Garden Town , Lahore",
Dr Iram Gul,N/A,Gynecologists,"Ittefaq Hospital                Ferozepur Road, Block H, Model Town, Lahore.  Model Town , Lahore",
Dr Anjum Noureen,N/A,Gynecologists,"Private Clinic: Hub River Road, Mujahidabad Karachi.  Mujahidabad  , karachi",
Dr M D Khan,N/A,Gynecologists,"Ayesha Memorial Hospital                E/5, Saidpur Road, Satellite Town, Islamabad/Rawalpindi.  Satelite Town , Rawalpindi",
Dr Shireen Zulfiqar Bhutta,N/A,Gynecologists,"The Aga Khan University Hospital                 AKUH Clifton Medical Services, Karachi.  Clifton , karachi",
Dr Robina Ashraf,N/A,Gynecologists,"The Clinic, 965-B, Saidpur Road.  Saidpur Road , Rawalpindi",
Dr Sohail Sheikh,N/A,Skin Specialists | Dermatologists,"Plastic Surgery Club                 Imran Khan Block, Gate # 14, Qaddafi Stadium, Lahore.  Qaddafi Stadium , Lahore",
Dr Sardar Mohammad Babar,N/A,ENT Specialist,"Kashmir Medical Centre                Chota Bazar Road, Saddar, Islamabad/Rawalpindi.  Saddar , Rawalpindi",
Dr Prof Zafar Ahmad,N/A,Skin Specialists | Dermatologists,"Skin Care Centre, Opp. Dawood Eng. College, New M A Jinnah Road, Karachi ( Near Islamia College ).  New M A Jinnah Road , karachi",
Dr Farhat Iqbal,N/A,Gynecologists,"Hameed Latif Hospital                 14 - Abu Bakar Block, New Garden Town, Lahore.  New Garden Town , Lahore",
Dr. Shehla Ahmed,N/A,Skin Specialists | Dermatologists,"Prime Care Hospital                Main Boulevard Defence, Lahore Cantt, Lahore.   Lahore Cantt , Lahore",
Dr Zarina Khan,N/A,Gynecologists,"Jinnah Avenue, Blue Area, Islamabad/Rawalpindi.  Blue Area , Islamabad",
Dr Khurram Mutahir Siddiqui,N/A,Urologists,"AKUH Consulting Clinic                AKUH Consulting Clinic, Stadium Road, Karachi.   Stadium Road , karachi",
Dr MUSHATQUE ALI MEMON,N/A,Skin Specialists | Dermatologists,"CMH Road, Saddar, Hyderabad.  Saddar , Hyderabad",
Dr. Ismail Kanrani,N/A,Cardiologists,"Kharadar General Hospital                Aga Khan Road, Kharadar, Karachi.  Kharadar , karachi",
Dr Samina Tasleem,N/A,Gynecologists,"Maryam Memorial Hospital                 Peshawar Road, Rawalpindi.  Peshawar Road , Rawalpindi",
Dr Zubair Iqbal Bhutta,Associate Professor,ENT Specialist,"Naz Hospital                6-A, Link Shadman Road, Shadman Lahore.  Shadman  , Lahore",
Dr Prof Rubina Hussain,N/A,Gynecologists,"Dr Ziauddin Hospital                4/B, Shahrah-e-Ghalib, Block 6, Clifton, Karachi.   Clifton , karachi",
Dr Bushra Saeed,N/A,Gynecologists,"Shalamar Hospital                , Shalimar Link Road, Mughalpura, Lahore.  MughalPura , Lahore",
Dr Salma Hussain,N/A,Gynecologists,"Al-Qaim Hospital                4th-B Road, Satellite Town, Islamabad/Rawalpindi.  Satelite Town , Rawalpindi",
Dr FARIDUDDIN SHAIKH,N/A,Skin Specialists | Dermatologists,"H.No. 36/1, Qasim Sarak, Saddar, Hyderabad.  Saddar , Hyderabad",
Dr Fayyaz Haider Hashmi,N/A,Cardiologists,"Doctors Hospital & Medical Center                 152 A-G/1 Canal Bank Johar Town Lahore.  Johar Town , Lahore",
Dr. Nusrat Ali,N/A,Cardiologists,"Burhani Hospital                Tayebjee Road, Gari Khata, Hassan Ali Effendi Road, Karachi.  Gari Khata , karachi",
Dr Ayesha Chandna,N/A,Diabetologists,"Al Fatima Clinic Ghazi                20-1, MACHS, Ghazi Salahuddin Road.  Ghazi Salahuddin , karachi",
Dr Noreen Zafar,N/A,Gynecologists,"Doctors Hospital & Medical Centre                2A-G/1, Canal Bank, Johar Town, Lahore.  Johar Town , Lahore",
Dr. Abdul Majeed Chaudhry,N/A,General Surgeon,"Doctors Hospital                 152-G/1, Canal Bank, Lahore.   Johar Town , Lahore",
Dr Khalid Rasheed,N/A,Cardiologists,"Tabba Heart Institute                Tabba Heart Institute, Street 1, Block No. 2, Federal ""B"" Area, Hussainabad Street, Karachi  Federal ""B"" Area , karachi",
Dr Mohammad Idrees,N/A,Skin Specialists | Dermatologists,"Ijaz Hospital                Mandi Stop Wahdat Road Near Multan Chungi,Lahore.  Near Multan Chungi , Lahore",
Dr. Mubizah Haider,N/A,ENT Specialist,"AL- Hani Clinic jhang Road, Faisalabad.  Jhang Road , Faisalabad",
Dr Asim Alvi,N/A,Gynecologists,"Al-Qaim Hospital                B-Block, satellite town, Rawalpindi.  Satellite Town , Rawalpindi",
Dr. Farkhanda Qadir,N/A,Gynecologists,"Batool General Hospital                197A, Block 5,Gulistan-e-Johar, Karachi.  Gulistan -e-Johar , karachi",
Dr Zulfiqar A Khowaja,N/A,Skin Specialists | Dermatologists,"AKUH Consulting Clinic                Stadium Road, Karachi.  Stadium Road , karachi",
Dr Shama Munim,N/A,Gynecologists,"The Aga Khan University Hospital                 AKUH Consulting Clinic, Stadium Road, Karachi.  Stadium Road , karachi",
Dr Mehreen Mehmood,N/A,Gynecologists,"Ayub Medical Centre                372-Saidpur Road, Islamabad.  Saidpur Road , Rawalpindi",
Dr Nabia Tariq,N/A,Gynecologists,"Shifa International Hospital                Sector H-8/4, Islamabad.  H-8 , Islamabad",
Dr Nasira Dawood,N/A,Gynecologists,"Mubarak Nursing Homepage, 19-Harley Street, Rawalpindi.   19-Harley Street , Rawalpindi",
Dr Khawar Khursheed,N/A,Skin Specialists | Dermatologists,"40-L Usmani Rd, Lahore.  Usmani Rd , Lahore",
Dr. Irshad Hakim,N/A,Skin Specialists | Dermatologists,"Khyber Medical Centre, Peshawar.  Dabgari Garden , Peshawar",
Dr. Muhammad Yasir Khan,N/A,ENT Specialist,"Shifa Medical Center                 Savoy Arcade (Next to Standard Chartered Bank),F-11 Markaz, Islamabad.   F-11  , Islamabad",
Dr Rukhsana Mughal,N/A,Gynecologists,"The Aga Khan University Hospital                 AKUH Consulting Clinic, Stadium Road, Karachi.   Stadium Road , karachi",
Dr Khadija H Asif,N/A,Gynecologists,"Ittefaq Hospital                 Near H Block, Model Town, Lahore.  Model Town , Lahore",
Dr Raziuddin Biyabani,N/A,Urologists,"AKUH Consulting Clinic                Stadium Road, Karachi.	  Stadium Road , karachi",
Dr Rozina Sikandar Sultan,N/A,Gynecologists,"The Aga Khan University Hospital                 AKUH Consulting Clinic, Stadium Road, Karachi.   Stadium Road , karachi",
Dr Zul Kifil,N/A,ENT Specialist,"Al-Qaim Hospital                4th-B Road, Satellite Town, Islamabad/Rawalpindi.  Satellite Town , Rawalpindi",
Dr Naveed Shahzad,N/A,Skin Specialists | Dermatologists,"Clinic: 7 - M Block Johar Town, Lahore.    , Lahore",
Dr Muhammad Kaleem,Associate Professor,Urologists,"Naz Hospital                6-A, Link Shadman Road, Shadman Lahore.  Shadman , Lahore",
Dr Mohammad Tariq Bhatti,N/A,Pediatricians,"Raza Medical Complex                10 - C, Shadman ll, Jail Road, Lahore.  Shadman ll , Lahore",
Dr Jehan Ara,N/A,Gynecologists,"Dr Ziauddin Hospital                Block B, North Nazimabad, Karachi.   North Nazimabad , karachi",
Dr Bushra Yousaf,N/A,Gynecologists,"urraya Azeem (Waqaf) Hospital                Chowk Chouburji, Lahore.  Chowk Chouburji , Lahore",
Dr Aziza Kapadia,N/A,Gynecologists,"The Aga Khan University Hospital                 Consulting Clinic 4, Stadium Road, Karachi.  Stadium Road , karachi",
Dr Shereen Zulfiqar Bhutta,N/A,Gynecologists,"Dr Ziauddin Hospital                  4/B, Shahrah-e-Ghalib, Block 6, Clifton, Karachi.  Clifton , karachi",
Dr Syed Khalid Imam,N/A,Diabetologists,"Liaquat National Hospital                National Stadium Road, Essa Nagri, Karachi.  Essa Nagri , karachi",
Dr. Noreen Zafar,N/A,Gynecologists,"Doctor's Hospital                 152-G/1, Canal Bank, Johar Town, Lahore.   Johar Town , Lahore",
Dr Nasarullah Rana,N/A,ENT Specialist,"Nasrullah Rana Hospital                Jail Road Medical Tower, Kinnaird College, Lahore.  Jail Road , Lahore",
Dr Safdar Nawaz Malik,N/A,ENT Specialist,"Maryam Memorial Hospital                2/311, Peshawar Rd, Rawalpindi.  Peshawar Rd , Rawalpindi",
Dr Rashid A Chaudhary,N/A,Diabetologists,"Shifa International Hospital                Pitras Bukhari Road, H-8/4, H-8, Islamabad.   H-8 , Islamabad",
Dr Mohammad Tufail Ijaz,N/A,Diabetologists,"Shifa International Hospital                Pitras Bukhari Road, H-8/4, H-8, Islamabad.  H-8 , Rawalpindi",
Dr Khalida Khanum Naqvi,N/A,Gynecologists,"The Aga Khan University Hospital                 AKUH Consulting Clinic 4, Stadium Road, Karachi.  Stadium Road , karachi",
Dr Dawood Shaukat,N/A,Diabetologists,"Naz Hospital                6-A, Link Shadman Road, Shadman, Lahore.  Shadman , Lahore",
Dr. Nishat Zehra,N/A,Gynecologists,"MF-31, Quaid-e-Azam Center, C.M.H Road, Hyderabad.  C.M.H Road , Hyderabad",
Dr ROOPCHAND P-LILAANI,N/A,ENT Specialist,"Gareeb Nawaz Colony, Sabzi Mandi, Near Naya Pull, Hyderabad.  Sabzi Mandi , Hyderabad",
